N09_12_1 SAM5_GTB0_TAC02_CH04
N09_12_2 SAM5_GTB0_TAC02_CH12
N09_13_1 SAM5_GTB0_TAC02_CH05
N09_13_2 SAM5_GTB0_TAC02_CH13
N09_14_1 SAM5_GTB0_TAC02_CH06
N09_14_2 SAM5_GTB0_TAC02_CH14
N09_15_1 SAM5_GTB0_TAC02_CH07
N09_15_2 SAM5_GTB0_TAC02_CH15
N09_16_1 SAM5_GTB0_TAC02_CH08
N09_16_2 SAM5_GTB0_TAC02_CH16
N09_17_1 SAM5_GTB0_TAC05_CH01
N09_17_2 SAM5_GTB0_TAC05_CH09
N09_18_1 SAM5_GTB0_TAC05_CH02
N09_18_2 SAM5_GTB0_TAC05_CH10
N09_19_1 SAM5_GTB0_TAC05_CH03
N09_19_2 SAM5_GTB0_TAC05_CH11
N09_20_1 SAM5_GTB0_TAC05_CH04
N09_20_2 SAM5_GTB0_TAC05_CH12
N10_01_1 SAM5_GTB0_TAC03_CH01
N10_01_2 SAM5_GTB0_TAC03_CH09
N10_02_1 SAM5_GTB0_TAC03_CH02
N10_02_2 SAM5_GTB0_TAC03_CH10
N10_03_1 SAM5_GTB0_TAC03_CH03
N10_03_2 SAM5_GTB0_TAC03_CH11
N10_04_1 SAM5_GTB0_TAC03_CH04
N10_04_2 SAM5_GTB0_TAC03_CH12
N10_05_1 SAM5_GTB0_TAC03_CH05
N10_05_2 SAM5_GTB0_TAC03_CH13
N10_06_1 SAM5_GTB0_TAC03_CH06
N10_06_2 SAM5_GTB0_TAC03_CH14
N10_07_1 SAM5_GTB0_TAC03_CH07
N10_07_2 SAM5_GTB0_TAC03_CH15
N10_08_1 SAM5_GTB0_TAC03_CH08
N10_08_2 SAM5_GTB0_TAC03_CH16
N10_09_1 SAM5_GTB0_TAC04_CH01
N10_09_2 SAM5_GTB0_TAC04_CH09
N10_10_1 SAM5_GTB0_TAC04_CH02
N10_10_2 SAM5_GTB0_TAC04_CH10
N10_11_1 SAM5_GTB0_TAC04_CH03
N10_11_2 SAM5_GTB0_TAC04_CH11
N10_12_1 SAM5_GTB0_TAC04_CH04
N10_12_2 SAM5_GTB0_TAC04_CH12
N10_13_1 SAM5_GTB0_TAC04_CH05
N10_13_2 SAM5_GTB0_TAC04_CH13
