1     1H ( 12C , 12C )  1H 
******************************

 PROJECTILE      TARGET      PART. C      PART. D
      12           1          12           1        AMU
  11177.9319    938.7833  11178.9319    938.7833    MEV


 BEAM ENERGY   4800.00 MEV        EXCITATION ENERGY     1.00
 GROUND STATE Q-VALUE      0.000 MEV.

1  PARTICLE C                                                         PARTICLE D
******************************************************************    ********************

    LAB     C.M.    KINET       P3        SOLID     1/2E     BRHO3      LAB    KINET  p4          SOLID  BRHO4   TOF
  ANGLE     ANG     ENERG                 ANGLE     DE/DT    KG.M       ANG    ENERGY               ANG  KG*M

   0.99    13.27   4778.074  11386.726   180.290    -0.256     63.31    80.766    20.926   199.318    0.36      6.65 0.1579E+01
   1.00    13.40   4777.646  11386.125   180.352    -0.258     63.30    80.678    21.354   201.371    0.36      6.72 0.1563E+01
   1.01    13.54   4777.213  11385.518   180.415    -0.261     63.30    80.590    21.787   203.426    0.37      6.79 0.1548E+01
   1.02    13.67   4776.775  11384.905   180.478    -0.264     63.30    80.502    22.225   205.481    0.37      6.85 0.1533E+01
   1.03    13.81   4776.333  11384.286   180.543    -0.266     63.29    80.413    22.667   207.538    0.37      6.92 0.1518E+01
   1.04    13.95   4775.887  11383.660   180.608    -0.269     63.29    80.325    23.113   209.596    0.38      6.99 0.1503E+01
   1.05    14.08   4775.436  11383.029   180.673    -0.272     63.29    80.237    23.564   211.655    0.38      7.06 0.1488E+01
   1.06    14.22   4774.981  11382.390   180.740    -0.275     63.28    80.148    24.019   213.716    0.38      7.13 0.1474E+01
   1.07    14.35   4774.521  11381.746   180.807    -0.277     63.28    80.060    24.479   215.778    0.39      7.20 0.1460E+01
   1.08    14.49   4774.057  11381.095   180.875    -0.280     63.28    79.971    24.943   217.841    0.39      7.27 0.1447E+01
   1.09    14.63   4773.588  11380.438   180.944    -0.283     63.27    79.882    25.412   219.906    0.39      7.34 0.1433E+01
   1.10    14.76   4773.115  11379.775   181.013    -0.285     63.27    79.794    25.885   221.972    0.40      7.40 0.1420E+01
   1.11    14.90   4772.637  11379.105   181.083    -0.288     63.26    79.705    26.363   224.039    0.40      7.47 0.1407E+01
   1.12    15.04   4772.155  11378.429   181.154    -0.291     63.26    79.616    26.845   226.107    0.41      7.54 0.1394E+01
